Date,SPX_Close,VIX_Today,SPX_Return_Pct,fgi_value,Vol_Level
2020-01-03,3234.85009765625,14.020000457763672,-0.71,38,Normal
2020-01-06,3246.280029296875,13.850000381469727,0.35,41,Normal
2020-01-07,3237.179931640625,13.789999961853027,-0.28,40,Normal
2020-01-08,3253.050048828125,13.449999809265137,0.49,51,Normal
2020-01-09,3274.699951171875,12.539999961853027,0.67,44,Normal
2020-01-10,3265.35009765625,12.5600004196167,-0.29,41,Normal
2020-01-13,3288.1298828125,12.319999694824219,0.7,49,Normal
2020-01-14,3283.14990234375,12.390000343322754,-0.15,56,Normal
2020-01-15,3289.2900390625,12.420000076293945,0.19,54,Normal
2020-01-16,3316.81005859375,12.319999694824219,0.84,55,Normal
2020-01-17,3329.6201171875,12.100000381469727,0.39,54,Normal
2020-01-21,3320.7900390625,12.850000381469727,-0.27,49,Normal
2020-01-22,3321.75,12.90999984741211,0.03,52,Normal
2020-01-23,3325.5400390625,12.979999542236328,0.11,49,Normal
2020-01-24,3295.469970703125,14.5600004196167,-0.9,40,Normal
2020-01-27,3243.6298828125,18.229999542236328,-1.57,50,Normal
2020-01-28,3276.239990234375,16.280000686645508,1.01,54,Normal
2020-01-29,3273.39990234375,16.389999389648438,-0.09,57,Normal
2020-01-30,3283.659912109375,15.489999771118164,0.31,57,Normal
2020-01-31,3225.52001953125,18.84000015258789,-1.77,55,Normal
2020-02-03,3248.919921875,17.969999313354492,0.73,59,Normal
2020-02-04,3297.590087890625,16.049999237060547,1.5,56,Normal
2020-02-05,3334.68994140625,15.149999618530273,1.13,53,Normal
2020-02-06,3345.780029296875,14.960000038146973,0.33,61,Normal
2020-02-07,3327.7099609375,15.470000267028809,-0.54,56,Normal
2020-02-10,3352.090087890625,15.039999961853027,0.73,57,Normal
2020-02-11,3357.75,15.180000305175781,0.17,52,Normal
2020-02-12,3379.449951171875,13.739999771118164,0.65,61,Normal
2020-02-13,3373.93994140625,14.149999618530273,-0.16,65,Normal
2020-02-14,3380.159912109375,13.680000305175781,0.18,63,Normal
2020-02-18,3370.2900390625,14.829999923706055,-0.29,53,Normal
2020-02-19,3386.14990234375,14.380000114440918,0.47,50,Normal
2020-02-20,3373.22998046875,15.5600004196167,-0.38,44,Normal
2020-02-21,3337.75,17.079999923706055,-1.05,44,Normal
2020-02-24,3225.889892578125,25.030000686645508,-3.35,46,Level_3 (Extreme >3%)
2020-02-25,3128.2099609375,27.850000381469727,-3.03,44,Level_3 (Extreme >3%)
2020-02-26,3116.389892578125,27.559999465942383,-0.38,41,Normal
2020-02-27,2978.760009765625,39.15999984741211,-4.42,39,Level_3 (Extreme >3%)
2020-02-28,2954.219970703125,40.11000061035156,-0.82,40,Normal
2020-03-02,3090.22998046875,33.41999816894531,4.6,38,Level_3 (Extreme >3%)
2020-03-03,3003.3701171875,36.81999969482422,-2.81,38,Level_2 (High >2%)
2020-03-04,3130.1201171875,31.989999771118164,4.22,40,Level_3 (Extreme >3%)
2020-03-05,3023.93994140625,39.619998931884766,-3.39,41,Level_3 (Extreme >3%)
2020-03-06,2972.3701171875,41.939998626708984,-1.71,39,Normal
2020-03-09,2746.56005859375,54.459999084472656,-7.6,17,Level_3 (Extreme >3%)
2020-03-10,2882.22998046875,47.29999923706055,4.94,16,Level_3 (Extreme >3%)
2020-03-11,2741.3798828125,53.900001525878906,-4.89,17,Level_3 (Extreme >3%)
2020-03-12,2480.639892578125,75.47000122070312,-9.51,14,Level_3 (Extreme >3%)
2020-03-13,2711.02001953125,57.83000183105469,9.29,10,Level_3 (Extreme >3%)
2020-03-16,2386.1298828125,82.69000244140625,-11.98,9,Level_3 (Extreme >3%)
2020-03-17,2529.18994140625,75.91000366210938,6.0,8,Level_3 (Extreme >3%)
2020-03-18,2398.10009765625,76.44999694824219,-5.18,11,Level_3 (Extreme >3%)
2020-03-19,2409.389892578125,72.0,0.47,12,Normal
2020-03-20,2304.919921875,66.04000091552734,-4.34,9,Level_3 (Extreme >3%)
2020-03-23,2237.39990234375,61.59000015258789,-2.93,10,Level_2 (High >2%)
2020-03-24,2447.330078125,61.66999816894531,9.38,12,Level_3 (Extreme >3%)
2020-03-25,2475.56005859375,63.95000076293945,1.15,13,Normal
2020-03-26,2630.070068359375,61.0,6.24,14,Level_3 (Extreme >3%)
2020-03-27,2541.469970703125,65.54000091552734,-3.37,12,Level_3 (Extreme >3%)
2020-03-30,2626.64990234375,57.08000183105469,3.35,10,Level_3 (Extreme >3%)
2020-03-31,2584.590087890625,53.540000915527344,-1.6,12,Normal
2020-04-01,2470.5,57.060001373291016,-4.41,12,Level_3 (Extreme >3%)
2020-04-02,2526.89990234375,50.90999984741211,2.28,14,Level_2 (High >2%)
2020-04-03,2488.64990234375,46.79999923706055,-1.51,14,Normal
2020-04-06,2663.679931640625,45.2400016784668,7.03,12,Level_3 (Extreme >3%)
2020-04-07,2659.409912109375,46.70000076293945,-0.16,20,Normal
2020-04-08,2749.97998046875,43.349998474121094,3.41,21,Level_3 (Extreme >3%)
2020-04-09,2789.820068359375,41.66999816894531,1.45,22,Normal
2020-04-13,2761.6298828125,41.16999816894531,-1.01,11,Normal
2020-04-14,2846.06005859375,37.7599983215332,3.06,15,Level_3 (Extreme >3%)
2020-04-15,2783.360107421875,40.84000015258789,-2.2,18,Level_2 (High >2%)
2020-04-16,2799.550048828125,40.11000061035156,0.58,13,Normal
2020-04-17,2874.56005859375,38.150001525878906,2.68,15,Level_2 (High >2%)
2020-04-20,2823.159912109375,43.83000183105469,-1.79,15,Normal
2020-04-21,2736.56005859375,45.40999984741211,-3.07,17,Level_3 (Extreme >3%)
2020-04-22,2799.31005859375,41.97999954223633,2.29,19,Level_2 (High >2%)
2020-04-23,2797.800048828125,41.380001068115234,-0.05,19,Normal
2020-04-24,2836.739990234375,35.93000030517578,1.39,20,Normal
2020-04-27,2878.47998046875,33.290000915527344,1.47,28,Normal
2020-04-28,2863.389892578125,33.56999969482422,-0.52,26,Normal
2020-04-29,2939.510009765625,31.229999542236328,2.66,26,Level_2 (High >2%)
2020-04-30,2912.429931640625,34.150001525878906,-0.92,44,Normal
2020-05-01,2830.7099609375,37.189998626708984,-2.81,40,Level_2 (High >2%)
2020-05-04,2842.739990234375,35.970001220703125,0.42,44,Normal
2020-05-05,2868.43994140625,33.61000061035156,0.9,40,Normal
2020-05-06,2848.419921875,34.119998931884766,-0.7,42,Normal
2020-05-07,2881.18994140625,31.440000534057617,1.15,49,Normal
2020-05-08,2929.800048828125,27.979999542236328,1.69,55,Normal
2020-05-11,2930.18994140625,27.56999969482422,0.01,40,Normal
2020-05-12,2870.1201171875,33.040000915527344,-2.05,39,Level_2 (High >2%)
2020-05-13,2820.0,35.279998779296875,-1.75,41,Normal
2020-05-14,2852.5,32.61000061035156,1.15,40,Normal
2020-05-15,2863.699951171875,31.889999389648438,0.39,44,Normal
2020-05-18,2953.909912109375,29.299999237060547,3.15,50,Level_3 (Extreme >3%)
2020-05-19,2922.93994140625,30.530000686645508,-1.05,50,Normal
2020-05-20,2971.610107421875,27.989999771118164,1.67,52,Normal
2020-05-21,2948.510009765625,29.530000686645508,-0.78,49,Normal
