Date,SPX_Close,VIX_Today,SPX_Return,VIX_T-1,VIX_T-2,VIX_T-3,VIX_Jump,fgi_value,Type
2023-01-03,3824.139892578125,22.899999618530273,,,,,,,Normal
2023-01-04,3852.969970703125,22.010000228881836,0.007538970575044379,22.899999618530273,,,-0.8899993896484375,,Normal
2023-01-05,3808.10009765625,22.459999084472656,-0.011645528874622113,22.010000228881836,22.899999618530273,,0.4499988555908203,,Normal
2023-01-06,3895.080078125,21.1299991607666,0.02284078102943865,22.459999084472656,22.010000228881836,22.899999618530273,-1.3299999237060547,,Jump >= 2%
2023-01-09,3892.090087890625,21.969999313354492,-0.0007676325452631305,21.1299991607666,22.459999084472656,22.010000228881836,0.8400001525878906,,Normal
2023-01-10,3919.25,20.579999923706055,0.006978233159061986,21.969999313354492,21.1299991607666,22.459999084472656,-1.3899993896484375,,Normal
2023-01-11,3969.610107421875,21.09000015258789,0.012849424614881588,20.579999923706055,21.969999313354492,21.1299991607666,0.5100002288818359,,Normal
2023-01-12,3983.169921875,18.829999923706055,0.0034159058663651987,21.09000015258789,20.579999923706055,21.969999313354492,-2.260000228881836,,Normal
2023-01-13,3999.090087890625,18.350000381469727,0.003996858363534361,18.829999923706055,21.09000015258789,20.579999923706055,-0.4799995422363281,,Normal
2023-01-17,3990.969970703125,19.360000610351562,-0.0020304911890052235,18.350000381469727,18.829999923706055,21.09000015258789,1.010000228881836,,Normal
2023-01-18,3928.860107421875,20.34000015258789,-0.015562598500411085,19.360000610351562,18.350000381469727,18.829999923706055,0.9799995422363281,,Normal
2023-01-19,3898.85009765625,20.520000457763672,-0.007638350296294338,20.34000015258789,19.360000610351562,18.350000381469727,0.18000030517578125,,Normal
2023-01-20,3972.610107421875,19.850000381469727,0.018918401045981525,20.520000457763672,20.34000015258789,19.360000610351562,-0.6700000762939453,,Normal
2023-01-23,4019.81005859375,19.809999465942383,0.01188134498366522,19.850000381469727,20.520000457763672,20.34000015258789,-0.04000091552734375,,Normal
2023-01-24,4016.949951171875,19.200000762939453,-0.0007115031258156934,19.809999465942383,19.850000381469727,20.520000457763672,-0.6099987030029297,,Normal
2023-01-25,4016.219970703125,19.079999923706055,-0.0001817250594663422,19.200000762939453,19.809999465942383,19.850000381469727,-0.12000083923339844,,Normal
2023-01-26,4060.429931640625,18.729999542236328,0.011007853469181317,19.079999923706055,19.200000762939453,19.809999465942383,-0.35000038146972656,,Normal
2023-01-27,4070.56005859375,18.510000228881836,0.002494840970949097,18.729999542236328,19.079999923706055,19.200000762939453,-0.2199993133544922,,Normal
2023-01-30,4017.77001953125,19.940000534057617,-0.012968740984683369,18.510000228881836,18.729999542236328,19.079999923706055,1.4300003051757812,,Normal
2023-01-31,4076.60009765625,19.399999618530273,0.014642470285510134,19.940000534057617,18.510000228881836,18.729999542236328,-0.5400009155273438,,Normal
2023-02-01,4119.2099609375,17.8700008392334,0.010452303944590291,19.399999618530273,19.940000534057617,18.510000228881836,-1.529998779296875,,Normal
2023-02-02,4179.759765625,18.729999542236328,0.014699373244309921,17.8700008392334,19.399999618530273,19.940000534057617,0.8599987030029297,,Normal
2023-02-03,4136.47998046875,18.329999923706055,-0.010354610691310495,18.729999542236328,17.8700008392334,19.399999618530273,-0.39999961853027344,,Normal
2023-02-06,4111.080078125,19.43000030517578,-0.006140463017754394,18.329999923706055,18.729999542236328,17.8700008392334,1.1000003814697266,,Normal
2023-02-07,4164.0,18.65999984741211,0.01287251059802652,19.43000030517578,18.329999923706055,18.729999542236328,-0.7700004577636719,,Normal
2023-02-08,4117.85986328125,19.6299991607666,-0.011080724476164705,18.65999984741211,19.43000030517578,18.329999923706055,0.9699993133544922,,Normal
2023-02-09,4081.5,20.709999084472656,-0.00882979617773516,19.6299991607666,18.65999984741211,19.43000030517578,1.0799999237060547,,Normal
2023-02-10,4090.4599609375,20.530000686645508,0.0021952617756952897,20.709999084472656,19.6299991607666,18.65999984741211,-0.17999839782714844,,Normal
2023-02-13,4137.2900390625,20.34000015258789,0.011448609342766147,20.530000686645508,20.709999084472656,19.6299991607666,-0.1900005340576172,,Normal
2023-02-14,4136.1298828125,18.90999984741211,-0.0002804145319874607,20.34000015258789,20.530000686645508,20.709999084472656,-1.4300003051757812,,Normal
2023-02-15,4147.60009765625,18.229999542236328,0.002773175690496066,18.90999984741211,20.34000015258789,20.530000686645508,-0.6800003051757812,,Normal
2023-02-16,4090.409912109375,20.170000076293945,-0.013788741489130674,18.229999542236328,18.90999984741211,20.34000015258789,1.9400005340576172,,Normal
2023-02-17,4079.090087890625,20.020000457763672,-0.002767405825327751,20.170000076293945,18.229999542236328,18.90999984741211,-0.14999961853027344,,Normal
2023-02-21,3997.340087890625,22.8700008392334,-0.020041234255327334,20.020000457763672,20.170000076293945,18.229999542236328,2.8500003814697266,,Drop >= 2%
2023-02-22,3991.050048828125,22.290000915527344,-0.0015735561458868341,22.8700008392334,20.020000457763672,20.170000076293945,-0.5799999237060547,,Normal
2023-02-23,4012.320068359375,21.139999389648438,0.005329429416074394,22.290000915527344,22.8700008392334,20.020000457763672,-1.1500015258789062,,Normal
2023-02-24,3970.0400390625,21.670000076293945,-0.010537551485558128,21.139999389648438,22.290000915527344,22.8700008392334,0.5300006866455078,,Normal
