Date,SPX_Close,VIX_Today,fgi_value,SPX_Return,VIX_Jump,VIX_T-1,Type
2018-02-01,2821.97998046875,13.470000267028809,30.0,,,,Normal
2018-02-02,2762.1298828125,17.309999465942383,15.0,-0.02120854792396809,3.839999198913574,13.470000267028809,Drop >= 2%
2018-02-05,2648.93994140625,37.31999969482422,11.0,-0.04097922480422822,20.010000228881836,17.309999465942383,Drop >= 2%
2018-02-06,2695.139892578125,29.979999542236328,8.0,0.017440920592313836,-7.340000152587891,37.31999969482422,Normal
2018-02-07,2681.659912109375,27.729999542236328,36.0,-0.005001588416939429,-2.25,29.979999542236328,Normal
2018-02-08,2581.0,33.459999084472656,30.0,-0.03753641975808808,5.729999542236328,27.729999542236328,Drop >= 2%
2018-02-09,2619.550048828125,29.059999465942383,44.0,0.014936090208494734,-4.399999618530273,33.459999084472656,Normal
2018-02-12,2656.0,25.610000610351562,42.0,0.013914584754042503,-3.4499988555908203,29.059999465942383,Normal
2018-02-13,2662.93994140625,24.969999313354492,35.0,0.0026129297463290957,-0.6400012969970703,25.610000610351562,Normal
2018-02-14,2698.6298828125,19.260000228881836,55.0,0.013402458257245842,-5.709999084472656,24.969999313354492,Normal
2018-02-15,2731.199951171875,19.1299991607666,71.0,0.012069112762299383,-0.13000106811523438,19.260000228881836,Normal
2018-02-16,2732.219970703125,19.459999084472656,67.0,0.0003734693722488025,0.3299999237060547,19.1299991607666,Normal
2018-02-20,2716.260009765625,20.600000381469727,74.0,-0.005841389459353419,1.1400012969970703,19.459999084472656,Normal
2018-02-21,2701.330078125,20.020000457763672,54.0,-0.0054965031281792864,-0.5799999237060547,20.600000381469727,Normal
2018-02-22,2703.9599609375,18.719999313354492,44.0,0.0009735510790762625,-1.3000011444091797,20.020000457763672,Normal
2018-02-23,2747.300048828125,16.489999771118164,39.0,0.01602837635051313,-2.229999542236328,18.719999313354492,Normal
2018-02-26,2779.60009765625,15.800000190734863,37.0,0.011757015343810906,-0.6899995803833008,16.489999771118164,Normal
2018-02-27,2744.280029296875,18.59000015258789,44.0,-0.012706888443829278,2.7899999618530273,15.800000190734863,Normal
2018-02-28,2713.830078125,19.850000381469727,41.0,-0.011095788639207016,1.260000228881836,18.59000015258789,Normal
2018-03-01,2677.669921875,22.469999313354492,38.0,-0.013324399541987275,2.6199989318847656,19.850000381469727,Normal
2018-03-02,2691.25,19.59000015258789,47.0,0.005071602744632031,-2.8799991607666016,22.469999313354492,Normal
2018-03-05,2720.93994140625,18.729999542236328,55.0,0.011032026532745043,-0.8600006103515625,19.59000015258789,Normal
2018-03-06,2728.1201171875,18.360000610351562,59.0,0.002638858606169414,-0.3699989318847656,18.729999542236328,Normal
2018-03-07,2726.800048828125,17.760000228881836,37.0,-0.00048387472056610203,-0.6000003814697266,18.360000610351562,Normal
2018-03-08,2738.969970703125,16.540000915527344,39.0,0.004463078207817217,-1.2199993133544922,17.760000228881836,Normal
2018-03-09,2786.570068359375,14.640000343322754,37.0,0.01737883151892694,-1.9000005722045898,16.540000915527344,Normal
2018-03-12,2783.02001953125,15.779999732971191,41.0,-0.001273985129042532,1.1399993896484375,14.640000343322754,Normal
2018-03-13,2765.31005859375,16.350000381469727,41.0,-0.006363576551088879,0.5700006484985352,15.779999732971191,Normal
2018-03-14,2749.47998046875,17.229999542236328,40.0,-0.005724521948562322,0.8799991607666016,16.350000381469727,Normal
2018-03-15,2747.330078125,16.59000015258789,32.0,-0.000781930531963182,-0.6399993896484375,17.229999542236328,Normal
2018-03-16,2752.010009765625,15.800000190734863,33.0,0.001703447167811456,-0.7899999618530273,16.59000015258789,Normal
2018-03-19,2712.919921875,19.020000457763672,29.0,-0.014204195388793028,3.2200002670288086,15.800000190734863,Normal
2018-03-20,2716.93994140625,18.200000762939453,37.0,0.0014818054520648882,-0.8199996948242188,19.020000457763672,Normal
2018-03-21,2711.929931640625,17.860000610351562,36.0,-0.0018439898833508828,-0.3400001525878906,18.200000762939453,Normal
2018-03-22,2643.68994140625,23.34000015258789,36.0,-0.025162888405856454,5.479999542236328,17.860000610351562,Drop >= 2%
2018-03-23,2588.260009765625,24.8700008392334,28.0,-0.02096688071186603,1.5300006866455078,23.34000015258789,Drop >= 2%
2018-03-26,2658.550048828125,21.030000686645508,31.0,0.02715725576151251,-3.8400001525878906,24.8700008392334,Jump >= 2%
2018-03-27,2612.6201171875,22.5,24.0,-0.017276308813847896,1.4699993133544922,21.030000686645508,Normal
2018-03-28,2605.0,22.8700008392334,24.0,-0.00291665716625622,0.37000083923339844,22.5,Normal
2018-03-29,2640.8701171875,19.969999313354492,18.0,0.013769718690019195,-2.9000015258789062,22.8700008392334,Normal
2018-04-02,2581.8798828125,23.6200008392334,11.0,-0.022337423560165104,3.6500015258789062,19.969999313354492,Drop >= 2%
2018-04-03,2614.449951171875,21.100000381469727,22.0,0.012614865848792123,-2.520000457763672,23.6200008392334,Normal
2018-04-04,2644.68994140625,20.059999465942383,22.0,0.01156648273982852,-1.0400009155273438,21.100000381469727,Normal
2018-04-05,2662.840087890625,18.940000534057617,17.0,0.0068628636575538415,-1.1199989318847656,20.059999465942383,Normal
2018-04-06,2604.469970703125,21.489999771118164,19.0,-0.021920248779842444,2.549999237060547,18.940000534057617,Drop >= 2%
2018-04-09,2613.159912109375,21.770000457763672,21.0,0.0033365488963206236,0.2800006866455078,21.489999771118164,Normal
2018-04-10,2656.8701171875,20.469999313354492,18.0,0.0167269537832615,-1.3000011444091797,21.770000457763672,Normal
2018-04-11,2642.18994140625,20.239999771118164,20.0,-0.005525364482924067,-0.22999954223632812,20.469999313354492,Normal
2018-04-12,2663.989990234375,18.489999771118164,18.0,0.008250750063987677,-1.75,20.239999771118164,Normal
2018-04-13,2656.300048828125,17.40999984741211,23.0,-0.0028866254882486952,-1.0799999237060547,18.489999771118164,Normal
2018-04-16,2677.840087890625,16.559999465942383,23.0,0.008109038386684864,-0.8500003814697266,17.40999984741211,Normal
2018-04-17,2706.389892578125,15.25,26.0,0.010661504701720004,-1.3099994659423828,16.559999465942383,Normal
2018-04-18,2708.639892578125,15.600000381469727,24.0,0.0008313658006817715,0.35000038146972656,15.25,Normal
2018-04-19,2693.1298828125,15.960000038146973,25.0,-0.005726124690152989,0.3599996566772461,15.600000381469727,Normal
2018-04-20,2670.139892578125,16.8799991607666,26.0,-0.00853653230061302,0.9199991226196289,15.960000038146973,Normal
2018-04-23,2670.2900390625,16.34000015258789,28.0,5.623169212687351e-05,-0.5399990081787109,16.8799991607666,Normal
2018-04-24,2634.56005859375,18.020000457763672,29.0,-0.01338056164164636,1.6800003051757812,16.34000015258789,Normal
2018-04-25,2639.39990234375,17.84000015258789,64.0,0.001837059563023713,-0.18000030517578125,18.020000457763672,Normal
2018-04-26,2666.93994140625,16.239999771118164,47.0,0.010434204774367295,-1.6000003814697266,17.84000015258789,Normal
2018-04-27,2669.909912109375,15.40999984741211,55.0,0.0011136248915897262,-0.8299999237060547,16.239999771118164,Normal
2018-04-30,2648.050048828125,15.930000305175781,59.0,-0.008187490964434607,0.5200004577636719,15.40999984741211,Normal
2018-05-01,2654.800048828125,15.489999771118164,56.0,0.0025490454770622506,-0.4400005340576172,15.930000305175781,Normal
2018-05-02,2635.669921875,15.970000267028809,52.0,-0.007205863568357729,0.48000049591064453,15.489999771118164,Normal
2018-05-03,2629.72998046875,15.899999618530273,55.0,-0.0022536742393085563,-0.07000064849853516,15.970000267028809,Normal
2018-05-04,2663.419921875,14.770000457763672,56.0,0.012811178963797909,-1.1299991607666016,15.899999618530273,Normal
2018-05-07,2672.6298828125,14.75,56.0,0.0034579455015175675,-0.020000457763671875,14.770000457763672,Normal
2018-05-08,2671.919921875,14.710000038146973,62.0,-0.0002656413228280252,-0.039999961853027344,14.75,Normal
2018-05-09,2697.7900390625,13.420000076293945,53.0,0.009682220255068819,-1.2899999618530273,14.710000038146973,Normal
2018-05-10,2723.070068359375,13.229999542236328,63.0,0.009370643723504823,-0.1900005340576172,13.420000076293945,Normal
2018-05-11,2727.719970703125,12.649999618530273,41.0,0.0017075955546570487,-0.5799999237060547,13.229999542236328,Normal
2018-05-14,2730.1298828125,12.930000305175781,40.0,0.0008834895573073265,0.2800006866455078,12.649999618530273,Normal
